,CLM_NBR,AUTO_ACCIDENT_DESC,CLAIMANT_STATUS,APPR_DAM_EST_REC_CNT,VEH_COLR_TXT,VEH_DAM_TXT,CLMT_VEH_MDL_NM,CLMT_VEH_YR,VEH_TYPE,VEH_PRIMARY_PT_OF_DAMAGE,AIRBAG_DEPLOYED,VEH_SPEED_AT_IMPACT
1976,EGSIEG8,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,REAR BUMPER,SUBURBAN 1,2005,Automobile,No Damage,None,Unknown
1982,LJY3G4N,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,PRIMARY POINT OF DA,QX80,2016,Automobile,Driver Front Corner,One,Unknown
1984,50C23DU,Multi Veh - Unclear Liab,Closed without Payment,1,BLUE,REAR BUMPER/MUFFLER,R32 AWD,2008,Automobile,Complete Rear End,None,Parked or Stopped
1994,CBZVPWR,Multi Veh - Unclear Liab,Closed without Payment,1,BEIGE,P/S DOORS TO THE P/,CAMRY,2004,Automobile,Passenger Center,One,Unknown
2000,K9VZ9ST,Single Veh,Closed with Payment,1,BLACK,UNK DAMAGE,RAIDER DUR,2006,Automobile,Complete Rear End,Unknown,Unknown
2006,03K11YC,Multi Veh - Unclear Liab,Closed without Payment,0,BLACK,UNKNOWN,GRAND CHER,2015,Automobile,Complete Front End,None,21-50 mph
2010,HNLSZFY,Multi Veh - Clear Liab,Closed with Payment,1,BLACK,BUMPER DAMAGE,4RUNNER SR,2004,Automobile,Complete Front End,None,Unknown
2013,RKKM8F0,Multi Veh - Unclear Liab,Closed with Payment,3,GRAY,D/S FRONT,ODYSSEY EX,2015,Automobile,Driver Front Corner,One,Parked or Stopped
2019,B84ALG5,Multi Veh - Unclear Liab,Closed without Payment,0,Silver,CAVED IN,FUSION SE,2012,Automobile,Complete Rear End,Unknown,Parked or Stopped
2021,X78NQP5,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,POI:ENTIRE F/E DENT,COROLLA CE,2006,Automobile,Complete Front End,None,Unknown
2030,Z26EOOJ,Single Veh,Closed with Payment,1,SILVER,FRONT END AND WINDS,RX 300 AWD,2000,Automobile,Complete Front End,More than one,21-50 mph
2032,IJX6XFF,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI: REAR END DRIVE,YUKON DENA,2011,Automobile,Complete Rear End,None,Below 10 mph
2038,DTLERH3,Multi Veh - Unclear Liab,Closed without Payment,0,BLACK,P/S REAR BUMPER AND,MARINER PR,2009,Automobile,Passenger Rear Corner,None,Parked or Stopped
2042,4T8OTZT,Multi Veh - Unclear Liab,Closed without Payment,0,White,"COMPLETE FRONT END,",COROLLA L/,2012,Automobile,Complete Front End,More than one,21-50 mph
2043,PR00KNZ,Multi Veh - Unclear Liab,Closed with Payment,2,BLUE,"BUMPER,  TRUNK , EN",ALTIMA,2015,Automobile,Complete Rear End,None,21-50 mph
2047,Q87P67D,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,FRONT END ALMOST RI,YARIS L/YA,2018,Automobile,Complete Front End,None,Below 10 mph
2055,Y1B7A2I,Single Veh,Closed without Payment,1,BLACK,POI UNK NO DAMAGE,528XI,2008,Automobile,No Damage,None,Below 10 mph
2070,EHOFJGJ,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,R/E P/S QTR PANEL/R,RANGER,2019,Automobile,Passenger Rear Corner,None,21-50 mph
2073,3G9WTH9,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,"D/S FRONT DOOR, RAR",TRAILBLAZE,2005,Automobile,Complete Driver Side,None,Unknown
2077,GLWUA4I,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,"REAR END DAMAGE, D/",C230 SPORT,2006,Automobile,Complete Rear End,None,Parked or Stopped
2085,ZEV8NSH,Multi Veh - Unclear Liab,Closed with Payment,2,BLUE,"REAR BMPR HALF OFF,",SONATA GLS,2011,Automobile,Complete Rear End,None,Unknown
2088,3P8AGG5,Multi Veh - Unclear Liab,Closed with Payment,3,GRAY/UJ,SUPP AND BACK BUMP,FOCUS SE,2014,Automobile,Complete Rear End,None,Parked or Stopped
2090,JMU1294,Single Veh,Closed with Payment,2,White,DNT ON PS OF HOOD,FUSION SEL,2011,Automobile,Passenger Front Corner,None,10-20 mph
2096,2H5EQOE,Multi Veh - Unclear Liab,Closed without Payment,1,BLUE,P/S FENDER AREA DMG,LEGACY,2006,Automobile,Passenger Front Corner,None,21-50 mph
2099,NI9U6FA,Multi Veh - Unclear Liab,Closed with Payment,1,GOLD,BUMPER/GRILL/HOOD/L,ALTIMA XE/,1999,Automobile,Complete Front End,None,Over 50 mph
2105,PQHTSQV,Single Veh,Closed with Payment,1,SILVER,PRIMARY POINT OF DA,PRIZM BASE,2001,Automobile,Passenger Front Corner,More than one,10-20 mph
2107,BIHP9QG,Multi Veh - Unclear Liab,Closed with Payment,5,SILVER,REAR BUMPER DENTED/,TACOMA ACC,2014,Automobile,Driver Rear Corner,None,Below 10 mph
2115,MXGA4OQ,Multi Veh - Unclear Liab,Closed without Payment,1,SILVER,COMPLET FRONT END,MAZDA6 I,2008,Automobile,Complete Front End,More than one,21-50 mph
2117,EFJMALK,Multi Veh - Unclear Liab,Closed without Payment,1,GREEN,POI: P/S REAR CORNE,TAURUS L,2000,Automobile,Passenger Rear Corner,None,Unknown
2120,Y42L38Q,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,BUMPER SCRATCHED  L,CX-9 AWD,2010,Automobile,Complete Front End,None,Unknown
2122,WCK1AF5,Multi Veh - Unclear Liab,Closed with Payment,1,GREEN,UNKNOWN,RAV4,2007,Automobile,Complete Front End,None,Unknown
2128,IM9GEAC,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,P/S DAMAGES,CRUZE LS,2018,Automobile,Complete Front End,More than one,Below 10 mph
2134,5P5FUZE,Multi Veh - Unclear Liab,Closed with Payment,1,RED,"BUMPER, 1/3 OF HOOD",SENTRA BAS,2010,Automobile,Complete Front End,More than one,Unknown
2136,3VYZPKT,Multi Veh - Unclear Liab,Closed with Payment,1,GREEN,"D/S FT WHEEL, D/S O",SUBURBAN 1,1996,Automobile,Driver Front Corner,None,Parked or Stopped
2148,0D2O66X,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI: D/S FRONT & RE,DTS,2006,Automobile,Passenger Center,Unknown,Unknown
2152,Z2WKWXG,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,HEAVY FRONT END DAM,EXPLORER A,2015,Automobile,Complete Front End,One,21-50 mph
2155,C85U3LZ,Multi Veh - Unclear Liab,Closed with Payment,1,BROWN,POI: FRONT PS AND R,RAV4,2011,Automobile,Passenger Front Corner,None,Parked or Stopped
2168,DM8UD5M,Multi Veh - Unclear Liab,Closed without Payment,1,BLUE,FRONT BUMPER AND P/,CHEROKEE S,2017,Automobile,Complete Front End,None,Unknown
2174,5G8AVDW,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI: REAR CENTER BA,IMPALA,2012,Automobile,Complete Rear End,None,10-20 mph
2177,GUIGRU0,Multi Veh - Unclear Liab,Closed with Payment,1,RED,FRONT END DMG,FORESTER 2,2009,Automobile,Complete Front End,More than one,Unknown
2183,T18FQ1K,Multi Veh - Unclear Liab,Closed without Payment,2,GREY,POI/DMG- FRONT BUMP,CIVIC LX,2009,Automobile,Complete Front End,None,Unknown
2189,M7NZWRE,Multi Veh - Unclear Liab,Closed with Payment,1,GREEN,POI: BUMPER GRILL,CR-V LX,2002,Automobile,Complete Front End,Unknown,Unknown
2193,97QO8JT,Multi Veh - Unclear Liab,Closed with Payment,1,RED,UNK,G6,2006,Automobile,Complete Front End,More than one,Unknown
2199,HW9SPMF,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POICOMPLETE PSG SI,CIVIC LX,2012,Automobile,Complete Passenger Side,More than one,21-50 mph
2215,PE8MF82,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,D/S DOORS SCRATCHED,MAZDASPEED,2013,Automobile,Driver Center,Unknown,Unknown
2218,DN1HX4Q,Multi Veh - Unclear Liab,Closed with Payment,1,BEIGE,COMPLETE FRONT END,SIENNA LE,2011,Automobile,Complete Front End,More than one,10-20 mph
2227,W823IG8,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,ENTIRE FT END HAS D,FUSION SE,2015,Automobile,Complete Front End,More than one,Over 50 mph
2237,Z87C2AJ,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,"FRT P/S SUSPENSION,",ELANTRA GL,2011,Automobile,Passenger Front Corner,None,21-50 mph
2284,GN8SGEY,Multi Veh - Unclear Liab,Closed with Payment,6,Gold,SUPP,MILAN PREM,2010,Automobile,Complete Front End,None,Below 10 mph
2290,G5ELRY1,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,ENTIRE FRONT END DA,RX 350,2007,Automobile,Complete Front End,None,Unknown
2300,4SPQNZ4,Multi Veh - Unclear Liab,Closed without Payment,0,Silver,PRIMARY POINT OF DA,AERIO S/AE,2003,Automobile,Complete Front End,None,Below 10 mph
2304,N9XAMGV,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI REAR END UNK DA,CR-V SE,2006,Automobile,Complete Rear End,None,Parked or Stopped
2308,7FHZTH2,Multi Veh - Unclear Liab,Closed with Payment,2,White,"DMG TO REAR BUMPER,",RAV4 LIMIT,2015,Automobile,Complete Rear End,None,Parked or Stopped
2310,IBB08RO,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,"HATCH, BUMPER, P/S",PRIUS V,2013,Automobile,Complete Rear End,None,Below 10 mph
2312,0BGNOPQ,Multi Veh - Unclear Liab,Closed with Payment,4,GRAY,POI FRT PSHEADLIGHT,TRAILBLAZE,2006,Automobile,Passenger Front Corner,None,Over 50 mph
2322,MI3TP92,Multi Veh - Unclear Liab,Closed without Payment,0,UNKNOWN,BUMPER HAS SCRAPE M,C250,2012,Automobile,Complete Rear End,None,Unknown
2326,2RM8978,Multi Veh - Unclear Liab,Closed without Payment,1,Silver,POI- F/E BUMPER SCR,ODDYSEY EX,2012,Automobile,Complete Front End,None,10-20 mph
2329,TXFIXLF,Multi Veh - Unclear Liab,Closed without Payment,1,Orange,COMPLETE REAR END B,XV CROSSTR,2015,Automobile,Complete Rear End,None,Parked or Stopped
2331,RLKC3X8,Multi Veh - Unclear Liab,Closed with Payment,3,White,FRT/END- FRONT END/,PATRIOT SP,2016,Automobile,Complete Front End,None,21-50 mph
2337,PUTOG3Z,Multi Veh - Unclear Liab,Closed without Payment,1,GREY,POI/DMG: P/S REAR I,JUKE S/SV/,2011,Automobile,Passenger Rear Corner,None,10-20 mph
2340,AJY16YG,Single Veh,Closed with Payment,1,SILVER,POI: FRONT END  UNS,MONTE CARLO S,2004,Automobile,Driver Front Corner,None,Unknown
2346,A25MNWX,Single Veh,Closed without Payment,1,SILVER,POI: UNKNOWN. EXTEN,VIBE,2005,Automobile,Driver Front Corner,Unknown,Unknown
2352,A4YZ1KP,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,F/E DAMAGE SPECIFIC,CIVIC LX,2013,Automobile,Complete Front End,None,Unknown
2355,HACNUPI,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,"DOORS, QRTRPNL, REA",VERSA S/VE,2007,Automobile,Passenger Center,None,10-20 mph
2358,D3FRC6U,Multi Veh - Unclear Liab,Closed with Payment,5,Yellow,DRIVER SIDE BOTH DO,MUSTANG,2016,Automobile,Driver Center,None,Unknown
2370,I8033WK,Multi Veh - Unclear Liab,Closed with Payment,2,Gray,DMG TO PS/ NOT DRIV,CAMRY BASE,2009,Automobile,Driver Front Corner,Unknown,Unknown
2373,IRHN2NU,Single Veh,Closed with Payment,1,SILVER,FRT END SMASHED & C,200 TOURIN,2013,Automobile,Complete Front End,None,10-20 mph
2376,3UPT5C1,Multi Veh - Unclear Liab,Closed with Payment,1,CHARCOAL,POI:ENTIRE D/S DENT,ESCAPE TIT,2015,Automobile,Complete Driver Side,More than one,21-50 mph
2378,3NIDUPX,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,PRIMARY POINT OF DA,MALIBU LS,2014,Automobile,Complete Front End,None,Unknown
2386,F5X2FGD,Multi Veh - Unclear Liab,Closed with Payment,2,DARK GRA,BUMPER,TRAVERSE L,2013,Automobile,Complete Front End,None,Unknown
2389,KTKUGTA,Multi Veh - Unclear Liab,Closed without Payment,1,UNKNOWN,POI: R/E DMG TOTALE,ESCORT LX,1998,Automobile,Complete Rear End,None,Parked or Stopped
2407,7PDMGAO,Multi Veh - Unclear Liab,Closed without Payment,1,RED,POI: REAR P/S STEP,PU,1992,Automobile,Passenger Rear Corner,None,Below 10 mph
2409,HSXAND2,Multi Veh - Unclear Liab,Closed without Payment,1,White,POI: REAR BUMPER,FRONTIER C,2014,Automobile,Complete Rear End,None,Parked or Stopped
2411,A91UB6F,Multi Veh - Unclear Liab,Closed with Payment,1,TAN,FRNT BUMPER AND HOO,CAMRY DX/L,1996,Automobile,Complete Front End,More than one,Unknown
2417,SJDGKH6,Multi Veh - Unclear Liab,Closed without Payment,2,White,"FRONT BUMPER, HOOD",NEW BEETLE,2007,Automobile,Complete Front End,More than one,Unknown
2426,4J95EZZ,Multi Veh - Unclear Liab,Closed with Payment,2,GREEN,P/S DOOR AND SLIDIN,SIENNA LE,2013,Automobile,Passenger Center,None,Unknown
2438,6KHBXNQ,Multi Veh - Unclear Liab,Closed without Payment,1,Red,POI: FRONT D/S IS S,FUSION HYB,2012,Automobile,Driver Front Corner,None,Parked or Stopped
2442,8BTZ17B,Multi Veh - Unclear Liab,Closed with Payment,2,SILVER,POI-HOODBUMBER DENT,FOCUS SE,2012,Automobile,Complete Front End,None,Below 10 mph
2445,1AL5NIV,Multi Veh - Unclear Liab,Closed with Payment,2,GOLD,D/S FRONT FENDER AN,PATHFINDER,2013,Automobile,Driver Front Corner,None,10-20 mph
2461,JF7Q75H,Multi Veh - Unclear Liab,Closed with Payment,2,UNKNOWN,REAR UNK,UNKNOWN,2017,Automobile,Complete Rear End,None,Parked or Stopped
2491,4AMX787,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,REAR BUMPER,ACADIA SLE,2014,Automobile,Complete Rear End,None,Parked or Stopped
2494,CRKLKOB,Multi Veh - Unclear Liab,Closed with Payment,2,Black,POI: FRONT BUMPER H,IMPALA L,2011,Automobile,Complete Front End,None,10-20 mph
2497,BQ7Q4ZR,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,D/S WINDOW NO MORE,ROGUE S/RO,2013,Automobile,Driver Center,None,Unknown
2501,6KI9TY1,Single Veh,Closed with Payment,1,SILVER,FENDER AND QUARTER,EQUINOX LT,2014,Automobile,Complete Passenger Side,More than one,Over 50 mph
2507,7BLMZZM,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI: COMPLETE P/S D,3.5RL,2000,Automobile,Passenger Center,One,Below 10 mph
2513,RDHTMD4,Multi Veh - Unclear Liab,Closed with Payment,2,GRAY,SUPP TO REAR BUMP,CAMRY BASE,2011,Automobile,Complete Rear End,None,Unknown
2515,SXTV9BV,Multi Veh - Unclear Liab,Closed with Payment,3,Silver,P/S FRT FENDER - AX,TAHOE LT,2013,Automobile,Passenger Front Corner,None,Unknown
2517,T32TM2A,Multi Veh - Unclear Liab,Closed without Payment,0,BLACK,GAS TANK DESTROYED,940,1994,Automobile,Passenger Front Corner,None,10-20 mph
2519,KBMN8AW,Multi Veh - Unclear Liab,Closed without Payment,1,Black,BUMPER,GRAND CHER,2015,Automobile,Driver Front Corner,None,Unknown
2525,EM1BDD6,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI-D/S FROM DOOR T,PRELUDE,1995,Automobile,Driver Center,None,21-50 mph
2528,XOYDW5O,Multi Veh - Clear Liab,Closed with Payment,2,Black,FRONT HOOD POPPED,FORESTER 2,2015,Automobile,Complete Front End,None,21-50 mph
2536,XTFFMJO,Multi Veh - Unclear Liab,Closed without Payment,1,BLUE,POI REAR BUMPER IS,SX4 LE,2012,Automobile,Complete Rear End,None,Below 10 mph
2542,G1FN2Z8,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,UNK DMG EXTENT,AVALON XL/,2007,Automobile,Complete Rear End,None,Parked or Stopped
2546,8Z7QR0Q,Multi Veh - Unclear Liab,Closed with Payment,3,Silver,BUMPER DMG,FORTE EX,2013,Automobile,Complete Front End,None,Unknown
2552,I4N0TRG,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,UNKNOWN,SONATA SPO,2016,Automobile,Driver Front Corner,One,Unknown
2561,82BUM3T,Multi Veh - Unclear Liab,Closed without Payment,1,Red,POI/DMG:FRONT CORNE,EXPLORER S,2003,Automobile,Driver Front Corner,None,21-50 mph
2563,KT2J89M,Single Veh,Closed with Payment,1,BURGUNDY,POI:P/S FRONT - WHE,DURANGO,1999,Automobile,Passenger Front Corner,None,21-50 mph
2565,97CAT4I,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI: D/S DOORS  RUN,TAHOE LS/L,2004,Automobile,Driver Center,One,10-20 mph
2569,99F217Z,Multi Veh - Unclear Liab,Closed with Payment,1,Maroon,POI: P/S FENDER HAS,PILOT TOUR,2013,Automobile,Passenger Front Corner,None,Unknown
2571,QED2XAE,Multi Veh - Unclear Liab,Closed with Payment,2,Silver,FRT P/S BUMPER BRKN,CAMRY CE/L,2008,Automobile,Passenger Front Corner,None,Unknown
2574,9WFQYYF,Multi Veh - Unclear Liab,Closed with Payment,2,White,POI/DMG:D/S FRONT F,COMMANDER,2007,Automobile,Driver Center,None,21-50 mph
2577,CVKJQPV,Multi Veh - Unclear Liab,Closed without Payment,1,ROYAL BL,POI: DS REAR BUMPER,FLEX SEL A,2013,Automobile,Driver Rear Corner,None,Parked or Stopped
2579,HHHIYKD,Multi Veh - Unclear Liab,Closed with Payment,3,CHAMPAIG,"DS FENDER, HEADLIGH",RX 330 AWD,2004,Automobile,Driver Front Corner,None,Below 10 mph
2582,RWQWXW1,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI: ENTIRE REAR BU,ACCORD EX,1998,Automobile,Complete Rear End,None,Parked or Stopped
2602,IIIZWFX,Multi Veh - Unclear Liab,Closed without Payment,1,Red,POI REAR / BUMPER P,EXPLORER S,2013,Automobile,Complete Rear End,None,Parked or Stopped
2604,32M5XJI,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,PRIMARY POINT OF DA,OPTIMA EX,2013,Automobile,Complete Front End,More than one,Parked or Stopped
2606,MZ4J1PV,Multi Veh - Unclear Liab,Closed without Payment,1,WHITE,"BUMPER HOLE, SCRATC",MODEL X 75,2017,Automobile,Passenger Rear Corner,None,Parked or Stopped
2609,MNVR26U,Multi Veh - Unclear Liab,Closed with Payment,2,RED,"BUMPER, HATCHDOOR D",FIT,2013,Automobile,Complete Rear End,None,Parked or Stopped
2615,4N0RKFF,Multi Veh - Unclear Liab,Closed with Payment,3,White,REAR & FRONT END DA,ACCORD SPO,2016,Automobile,Complete Rear End,None,Parked or Stopped
2619,55X0NP2,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,HEAVY FRONT,TAURUS SEL,2002,Automobile,Complete Front End,None,Unknown
2622,GFF77S7,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI FRONT D/S AXLE,CAMARO SS/,2011,Automobile,Driver Front Corner,One,Over 50 mph
2624,2D3LJ5S,Multi Veh - Unclear Liab,Closed without Payment,1,SILVER,POI: COMPLETE REAR,626 LX/626,2002,Automobile,Complete Rear End,None,Below 10 mph
2626,A6HJG44,Multi Veh - Unclear Liab,Closed without Payment,1,SILVER,BOTH BUMPERS ARE CR,GENESIS,2013,Automobile,Complete Rear End,None,Parked or Stopped
2628,E5HAC8Y,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI: REAR END BUMPE,FOCUS SE,2012,Automobile,Complete Rear End,None,Below 10 mph
2637,V0UQY6L,Multi Veh - Unclear Liab,Closed without Payment,1,RED,REAR BUMPER CRACKED,ESCAPE TIT,2015,Automobile,Complete Rear End,None,Parked or Stopped
2639,9BZKU1M,Single Veh,Closed with Payment,1,BLACK,UNK,JETTA SE,2011,Automobile,Complete Front End,More than one,Unknown
2649,IBLUS9N,Multi Veh - Clear Liab,Closed with Payment,1,BLUE,"HOOD, BUMPER LIGHT",CAMRY BASE,2009,Automobile,Complete Front End,None,21-50 mph
2658,4LHOFXJ,Multi Veh - Unclear Liab,Closed without Payment,0,BLACK,PRIMARY POINT OF DA,PRIUS BASE,2007,Automobile,Complete Front End,None,Unknown
2662,SG2XU0W,Multi Veh - Unclear Liab,Closed without Payment,1,WHITE,P/S REAR BUMPER/Q/P,EQUINOX LT,2016,Automobile,Passenger Rear Corner,None,Parked or Stopped
2664,LSB48FW,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,ENTIRE F/E DMG,ELANTRA TOURI,2010,Automobile,Complete Front End,One,Over 50 mph
2667,1QF2RV1,Multi Veh - Unclear Liab,Closed without Payment,1,BLUE,DRIVER SIDE REAR HA,CAMRY LE/S,2016,Automobile,Driver Rear Corner,None,10-20 mph
2679,UESGB6O,Single Veh,Closed with Payment,1,SILVER,DMG TO IV UNK,CAMRY SOLARA,2003,Automobile,Complete Front End,Unknown,Unknown
2682,R2CI57B,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,D/S DOOR TO D/S FRT,FIESTA SE,2013,Automobile,Driver Center,None,Over 50 mph
2684,33AQHDZ,Multi Veh - Unclear Liab,Closed with Payment,2,Black,SUPP,YUKON DENA,2017,Automobile,Complete Rear End,None,Parked or Stopped
2690,V4MVH3Y,Multi Veh - Unclear Liab,Closed without Payment,1,GRAY,POI: FRONT BUMPER D,GTI,2003,Automobile,Complete Front End,Unknown,Unknown
2700,T6NXLJS,Multi Veh - Unclear Liab,Closed with Payment,1,RED,POI: REAR BUMPER IS,MKZ AWD,2016,Automobile,Complete Rear End,Unknown,Unknown
2704,ND6HJH0,Multi Veh - Unclear Liab,Closed with Payment,2,GRAY,FRT END,PATRIOT LA,2016,Automobile,Complete Front End,None,Unknown
2718,71B2HY3,Multi Veh - Unclear Liab,Closed with Payment,1,RED,DAMAGE ALL OVER.,SUBURBAN 1,2015,Automobile,All Over,More than one,Below 10 mph
2726,C9SSLWW,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,POI-FRT-HOODBUMPER-,RX 350,2013,Automobile,Complete Front End,Unknown,Below 10 mph
2742,B5K2PP8,Multi Veh - Unclear Liab,Closed without Payment,3,Unknown,POI:FRONT END PLS C,SENTRA E/X,1996,Automobile,Complete Front End,None,Unknown
2748,B7DAUX8,Multi Veh - Unclear Liab,Closed with Payment,2,SILVER,POI: FRONT END PUSH,ECHO,2000,Automobile,Complete Front End,None,Unknown
2751,765ZRBY,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,ENTIRE FRONT END TO,ROGUE AWD,2014,Automobile,Complete Front End,More than one,21-50 mph
2755,7OBUMVM,Single Veh,Closed with Payment,1,SILVER,POI - EXTENT OF DMG,E500 4MATI,2006,Automobile,Complete Front End,Unknown,Unknown
2759,IYE55NQ,Multi Veh - Unclear Liab,Closed with Payment,2,Red,SUPP,TIGUAN,2009,Automobile,Driver Center,None,Parked or Stopped
2763,UITHEZW,Multi Veh - Unclear Liab,Closed with Payment,3,RED,SUPP PS FROM MIDDLE,ES 350,2014,Automobile,Passenger Center,None,Over 50 mph
2769,BV2XS1H,Multi Veh - Unclear Liab,Closed without Payment,1,GREEN,"P/S FRONT, HEADLIGH",RAM PICKUP,2011,Automobile,Passenger Front Corner,None,Unknown
2771,9E9S5F1,Multi Veh - Unclear Liab,Closed with Payment,2,GREEN,ENTIRE FRONT FENDER,RAV4 BASE,2004,Automobile,Complete Front End,None,Unknown
2773,QMKUZP0,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI: FRONT END COMP,G35,2004,Automobile,Complete Front End,None,10-20 mph
2777,B9V8VBT,Multi Veh - Unclear Liab,Closed without Payment,1,RED,DOORS WERE PUSHED I,CIVIC EX,2006,Automobile,Driver Center,None,Unknown
2783,JBQWH7X,Multi Veh - Unclear Liab,Closed without Payment,1,Gold,D/S  F/E AND R/E DO,TRAILBLAZE,2006,Automobile,Driver Center,None,21-50 mph
2795,H2RACT5,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,D/S FENDER D/S FRON,FRONTIER C,2010,Automobile,Driver Front Corner,None,21-50 mph
2797,J8XWYRP,Multi Veh - Unclear Liab,Closed without Payment,1,DARK GRE,PRIMARY POINT OF DA,GRAND CHER,2007,Automobile,Passenger Front Corner,None,Unknown
2799,6K9C0IX,Multi Veh - Clear Liab,Closed with Payment,2,GRAY,"FRT BUMPER, P/S FRT",Q50,2018,Automobile,Complete Front End,None,Below 10 mph
2800,Y4TWPXY,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,FNT BMP GRILL HOOD,MALIBU LS,2010,Automobile,Complete Front End,None,Below 10 mph
2802,4QIEDTU,Single Veh,Closed with Payment,1,SILVER,FRONT P/S CORNER: B,M35 AWD,2008,Automobile,Passenger Front Corner,None,Parked or Stopped
2814,ZVLLXH6,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,FRONT END PUSHED IN,A4 2.0T QU,2010,Automobile,Complete Front End,More than one,21-50 mph
2820,T1O5X8T,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,FRONT END SMASHED I,ALTIMA BAS,2009,Automobile,Complete Front End,More than one,Over 50 mph
2823,7EW5DPF,Multi Veh - Clear Liab,Closed without Payment,1,GRAY,BUMPER DAMAGE,GLA,2018,Automobile,Complete Rear End,None,Parked or Stopped
2832,MPFTU9F,Multi Veh - Unclear Liab,Closed without Payment,1,White,SCRAPED FRONT BUMPE,HHR 2LT,2008,Automobile,Complete Front End,None,Below 10 mph
2834,FO6VQ5Z,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,POI/DMG: D/S REAR B,COROLLA L/,2012,Automobile,Driver Rear Corner,None,Unknown
2836,1KV4HXI,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,UNKNOWN - FRONT END,EQUINOX LT,2013,Automobile,Complete Front End,More than one,21-50 mph
2839,14OVMT0,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,NO DAMAGE,COROLLA L/,2014,Automobile,No Damage,None,Unknown
2843,JT22BUC,Multi Veh - Unclear Liab,Closed without Payment,0,MAROON,FRONT BUMPER DENTED,RAM PICKUP,2001,Automobile,Complete Front End,None,10-20 mph
2846,2SBQ9YE,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI:REAR P/S BUMPER,RAMCHARGER,1989,Automobile,Passenger Rear Corner,None,21-50 mph
2850,BQ0L7D0,Multi Veh - Clear Liab,Closed with Payment,3,Black,REAR BUMPER,JOURNEY SX,2010,Automobile,Complete Rear End,None,Parked or Stopped
2853,DPGJT8Q,Multi Veh - Unclear Liab,Closed without Payment,0,WHITE,DS REAR DOOR,3.2TL,2005,Automobile,Driver Center,None,Unknown
2869,FUNY96I,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,POI: REAR BUMPER AN,328IS,1999,Automobile,Complete Rear End,None,Below 10 mph
2873,GM1QCKJ,Multi Veh - Unclear Liab,Closed with Payment,1,RED,POI-FRONT END PUSHE,COLORADO B,2004,Automobile,Complete Front End,None,Below 10 mph
2882,VKQMQIA,Multi Veh - Unclear Liab,Closed with Payment,1,UNKNOWN,P/S REAR WHEEL/RIM,CIVIC LX,2012,Automobile,Passenger Rear Corner,None,21-50 mph
2888,7X5SF87,Multi Veh - Unclear Liab,Closed with Payment,1,Gray,DS FRONT BUMPER,GRAND CHER,2001,Automobile,Driver Front Corner,None,Unknown
